Sample Name,Target Name,Ct
WT_3p-ssRNA_none,ctrl,24.01013374
WT_3p-ssRNA_none,ctrl,23.97464371
WT_3p-ssRNA_none,ctrl,23.93872833
WT_3p-ssRNA_none,test,19.86242867
WT_3p-ssRNA_none,test,19.94838715
WT_3p-ssRNA_none,test,19.97580338
WT_ssRNA_none,ctrl,23.80827332
WT_ssRNA_none,ctrl,23.61515617
WT_ssRNA_none,ctrl,23.91389275
WT_ssRNA_none,test,19.83284569
WT_ssRNA_none,test,19.83005524
WT_ssRNA_none,test,19.77600861
WT_3p-ssRNA_no.ins,ctrl,18.31823158
WT_3p-ssRNA_no.ins,ctrl,18.0338974
WT_3p-ssRNA_no.ins,ctrl,18.0663929
WT_3p-ssRNA_no.ins,test,16.98266983
WT_3p-ssRNA_no.ins,test,17.15923882
WT_3p-ssRNA_no.ins,test,17.17416763
WT_ssRNA_no.ins,ctrl,19.1554203
WT_ssRNA_no.ins,ctrl,19.52245331
WT_ssRNA_no.ins,ctrl,19.44319153
WT_ssRNA_no.ins,test,17.85876274
WT_ssRNA_no.ins,test,17.99599457
WT_ssRNA_no.ins,test,17.95918465
WT_3p-ssRNA_13.1,ctrl,18.8866291
WT_3p-ssRNA_13.1,ctrl,19.14489174
WT_3p-ssRNA_13.1,ctrl,19.05252647
WT_3p-ssRNA_13.1,test,17.73256874
WT_3p-ssRNA_13.1,test,17.93805695
WT_3p-ssRNA_13.1,test,17.92522812
WT_ssRNA_13.1,ctrl,18.99113655
WT_ssRNA_13.1,ctrl,18.97583008
WT_ssRNA_13.1,ctrl,18.96313477
WT_ssRNA_13.1,test,17.37025833
WT_ssRNA_13.1,test,17.51118469
WT_ssRNA_13.1,test,17.50589752
WT_3p-ssRNA_13.2,ctrl,17.9597702
WT_3p-ssRNA_13.2,ctrl,18.06147766
WT_3p-ssRNA_13.2,ctrl,18.07897949
WT_3p-ssRNA_13.2,test,16.96730423
WT_3p-ssRNA_13.2,test,16.67010498
WT_3p-ssRNA_13.2,test,17.06059647
WT_ssRNA_13.2,ctrl,18.30205345
WT_ssRNA_13.2,ctrl,18.0414238
WT_ssRNA_13.2,ctrl,18.04037285
WT_ssRNA_13.2,test,16.96110535
WT_ssRNA_13.2,test,16.99801254
WT_ssRNA_13.2,test,16.95761681
KO_3p-ssRNA_none,ctrl,23.44198799
KO_3p-ssRNA_none,ctrl,23.66719437
KO_3p-ssRNA_none,ctrl,23.65684509
KO_3p-ssRNA_none,test,19.6913929
KO_3p-ssRNA_none,test,19.76466179
KO_3p-ssRNA_none,test,19.64545822
KO_ssRNA_none,ctrl,23.39203644
KO_ssRNA_none,ctrl,22.51532364
KO_ssRNA_none,ctrl,23.33515167
KO_ssRNA_none,test,19.71845436
KO_ssRNA_none,test,19.59107399
KO_ssRNA_none,test,19.61047935
KO_3p-ssRNA_no.ins,ctrl,18.13447952
KO_3p-ssRNA_no.ins,ctrl,18.29849052
KO_3p-ssRNA_no.ins,ctrl,18.53066063
KO_3p-ssRNA_no.ins,test,17.14196777
KO_3p-ssRNA_no.ins,test,17.29819107
KO_3p-ssRNA_no.ins,test,17.39289284
KO_ssRNA_no.ins,ctrl,19.31462669
KO_ssRNA_no.ins,ctrl,19.63290405
KO_ssRNA_no.ins,ctrl,19.66940689
KO_ssRNA_no.ins,test,17.88298607
KO_ssRNA_no.ins,test,17.89298248
KO_ssRNA_no.ins,test,17.61355591
KO_3p-ssRNA_13.1,ctrl,20.50843239
KO_3p-ssRNA_13.1,ctrl,21.0025425
KO_3p-ssRNA_13.1,ctrl,20.30501938
KO_3p-ssRNA_13.1,test,18.92319107
KO_3p-ssRNA_13.1,test,18.96985054
KO_3p-ssRNA_13.1,test,18.95519257
KO_ssRNA_13.1,ctrl,19.3204937
KO_ssRNA_13.1,ctrl,19.03377724
KO_ssRNA_13.1,ctrl,19.14211464
KO_ssRNA_13.1,test,17.61735153
KO_ssRNA_13.1,test,17.68618393
KO_ssRNA_13.1,test,17.6531601
KO_3p-ssRNA_13.2,ctrl,21.04518127
KO_3p-ssRNA_13.2,ctrl,20.9208107
KO_3p-ssRNA_13.2,ctrl,21.11729431
KO_3p-ssRNA_13.2,test,18.85714149
KO_3p-ssRNA_13.2,test,19.09247017
KO_3p-ssRNA_13.2,test,19.14821434
KO_ssRNA_13.2,ctrl,18.96761703
KO_ssRNA_13.2,ctrl,20.07021523
KO_ssRNA_13.2,ctrl,19.85043335
KO_ssRNA_13.2,test,18.13567924
KO_ssRNA_13.2,test,18.34263229
KO_ssRNA_13.2,test,18.25224495
