Sample Name,Target Name,Ct
WT,GAPDH,17.03083229
WT,GAPDH,17.20268822
WT,GAPDH,17.01080704
KO,GAPDH,17.91437912
KO,GAPDH,18.09793091
KO,GAPDH,17.75661278
WT,UBA7,35.5859375
WT,UBA7,34.21002197
WT,UBA7,35.40094376
KO,UBA7,36.83440018
KO,UBA7,32.94419861
KO,UBA7,35.53788376
WT,UBE2L6,28.23808289
WT,UBE2L6,28.02308846
WT,UBE2L6,28.31078911
KO,UBE2L6,29.57866859
KO,UBE2L6,29.57392883
KO,UBE2L6,29.6866188
WT,USP18,24.20174599
WT,USP18,24.52759552
WT,USP18,24.38927269
KO,USP18,26.11178589
KO,USP18,26.19926834
KO,USP18,26.14684486
WT,HERC5,24.80827141
WT,HERC5,24.96203613
WT,HERC5,24.95656586
KO,HERC5,25.76245689
KO,HERC5,25.63990593
KO,HERC5,25.68713188
WT,USP41,25.51144218
WT,USP41,25.64290237
WT,USP41,25.52127838
KO,USP41,27.34951782
KO,USP41,27.18791008
KO,USP41,27.46595383
