Sample Name,Target Name,Ct
0,TBP,24.8106842
0,TBP,24.62905121
0,TBP,24.48163605
0,GAPDH,18.2397995
0,GAPDH,18.25700951
0,GAPDH,18.20417595
0,PARP13.1,23.47010231
0,PARP13.1,23.41989899
0,PARP13.1,23.45993805
0,UBE2L6,28.02584076
0,UBE2L6,28.15570641
0,UBE2L6,28.23411179
12,TBP,25.64436722
12,TBP,25.60593224
12,TBP,25.74117088
12,GAPDH,19.93791771
12,GAPDH,19.83817673
12,GAPDH,19.86784935
12,PARP13.1,25.15216255
12,PARP13.1,25.02631569
12,PARP13.1,25.25600624
12,UBE2L6,29.43642426
12,UBE2L6,29.37444305
12,UBE2L6,29.72240829
24,TBP,25.59541321
24,TBP,25.80423355
24,TBP,25.58761787
24,GAPDH,19.60606956
24,GAPDH,19.55113029
24,GAPDH,19.44958115
24,PARP13.1,25.43358612
24,PARP13.1,25.4172287
24,PARP13.1,25.57275009
24,UBE2L6,29.43990707
24,UBE2L6,29.61232948
24,UBE2L6,29.07791328
36,TBP,22.44024277
36,TBP,22.58112526
36,TBP,22.49948692
36,GAPDH,16.70526886
36,GAPDH,16.69236755
36,GAPDH,16.75870895
36,PARP13.1,24.17554092
36,PARP13.1,24.19572067
36,PARP13.1,24.43231773
36,UBE2L6,28.05271912
36,UBE2L6,28.19561958
36,UBE2L6,28.20653725
48,TBP,28.82064056
48,TBP,28.78915596
48,TBP,28.86504745
48,GAPDH,24.10294914
48,GAPDH,24.22185135
48,GAPDH,24.18488503
48,PARP13.1,26.17632484
48,PARP13.1,26.16663551
48,PARP13.1,26.1894474
48,UBE2L6,35.78781128
48,UBE2L6,34.25547028
48,UBE2L6,34.55873871
60,TBP,24.05591774
60,TBP,24.25814247
60,TBP,24.0275135
60,GAPDH,19.03250694
60,GAPDH,19.02973366
60,GAPDH,18.96855545
60,PARP13.1,25.63753128
60,PARP13.1,25.64888191
60,PARP13.1,25.50800896
60,UBE2L6,30.50777626
60,UBE2L6,30.54517937
60,UBE2L6,30.13863182
