Sample Name,Target Name,Ct
0,ISG15,32.56827545
0,ISG15,32.80711746
0,ISG15,32.16468048
12,ISG15,33.60538101
12,ISG15,33.31026459
12,ISG15,33.70969391
24,ISG15,33.22043228
24,ISG15,33.20042038
24,ISG15,33.83103561
36,ISG15,32.90762711
36,ISG15,32.23189735
36,ISG15,33.14725494
60,ISG15,34.16027069
60,ISG15,34.31487656
60,ISG15,34.60948944
0,RIGI,28.02853584
0,RIGI,27.92573738
0,RIGI,28.00231171
12,RIGI,28.9098587
12,RIGI,28.62672043
12,RIGI,28.68200302
24,RIGI,28.33621788
24,RIGI,28.46378326
24,RIGI,28.47940063
36,RIGI,26.07622337
36,RIGI,26.17948723
36,RIGI,26.14705086
60,RIGI,26.71809959
60,RIGI,26.87848091
60,RIGI,26.98676109
0,TBP,24.60771942
0,TBP,24.45035172
0,TBP,24.55506897
12,TBP,25.49513817
12,TBP,25.65656281
12,TBP,25.64811325
24,TBP,25.66559792
24,TBP,25.73458481
24,TBP,25.85802078
36,TBP,22.5249176
36,TBP,22.74379539
36,TBP,22.55041695
60,TBP,24.15877342
60,TBP,24.24941635
60,TBP,24.12951469
0,TRIM25,23.48612595
0,TRIM25,23.5296669
0,TRIM25,23.52313042
12,TRIM25,23.85703468
12,TRIM25,23.56914902
12,TRIM25,23.84117317
24,TRIM25,24.86310959
24,TRIM25,24.70406914
24,TRIM25,24.73387909
36,TRIM25,23.79455566
36,TRIM25,23.65156555
36,TRIM25,23.70163345
60,TRIM25,25.33686066
60,TRIM25,25.32205963
60,TRIM25,25.25432014
0,USP41,24.92486954
0,USP41,24.84609222
0,USP41,24.93434143
12,USP41,26.44703484
12,USP41,26.33070564
12,USP41,26.4609127
24,USP41,25.96041298
24,USP41,25.94314766
24,USP41,25.94742966
36,USP41,23.79201698
36,USP41,23.78209877
36,USP41,23.91809654
60,USP41,26.36249352
60,USP41,26.58407402
60,USP41,26.75009727
0,USP18,24.89137459
0,USP18,24.78037643
0,USP18,24.8634243
12,USP18,26.22747993
12,USP18,26.06420898
12,USP18,25.88164902
24,USP18,25.68537331
24,USP18,25.78388405
24,USP18,25.64885139
36,USP18,23.67809677
36,USP18,23.75832367
36,USP18,23.7548027
60,USP18,26.54473686
60,USP18,26.65924644
60,USP18,26.49391747
