Sample Name,Target Name,Ct
input_1,TBP,21.43000031
input_1,TBP,21.52660751
input_2,TBP,21.22753906
input_2,TBP,21.20898819
input_Q,TBP,27.59999275
input_Q,TBP,27.57103157
IP_1,TBP,33.63512039
IP_1,TBP,33.520504
IP_2,TBP,Undetermined
IP_2,TBP,Undetermined
IP_Q,TBP,Undetermined
IP_Q,TBP,Undetermined
input_1,PARP13.1,23.53473663
input_1,PARP13.1,23.72623825
input_2,PARP13.1,21.9814415
input_2,PARP13.1,21.95006943
input_Q,PARP13.1,27.44691467
input_Q,PARP13.1,27.43601799
IP_1,PARP13.1,27.83689308
IP_1,PARP13.1,28.11646843
IP_2,PARP13.1,Undetermined
IP_2,PARP13.1,Undetermined
IP_Q,PARP13.1,Undetermined
IP_Q,PARP13.1,Undetermined
input_1,PARP13.2,27.10551071
input_1,PARP13.2,27.14972878
input_2,PARP13.2,26.51907158
input_2,PARP13.2,26.52582741
input_Q,PARP13.2,32.26936722
input_Q,PARP13.2,32.22398758
IP_1,PARP13.2,36.7827034
IP_1,PARP13.2,36.76921844
IP_2,PARP13.2,Undetermined
IP_2,PARP13.2,Undetermined
IP_Q,PARP13.2,Undetermined
IP_Q,PARP13.2,Undetermined
input_1,EIF1,17.2183342
input_1,EIF1,17.14561844
input_2,EIF1,17.42203331
input_2,EIF1,17.35516357
input_Q,EIF1,23.93609238
input_Q,EIF1,23.92651939
IP_1,EIF1,27.65841103
IP_1,EIF1,27.52103615
IP_2,EIF1,Undetermined
IP_2,EIF1,Undetermined
IP_Q,EIF1,Undetermined
IP_Q,EIF1,Undetermined
input_1,STT3A,18.92588425
input_1,STT3A,18.98150063
input_2,STT3A,17.90849876
input_2,STT3A,17.94567871
input_Q,STT3A,22.58626938
input_Q,STT3A,22.41857529
IP_1,STT3A,29.96450806
IP_1,STT3A,30.02876472
IP_2,STT3A,Undetermined
IP_2,STT3A,Undetermined
IP_Q,STT3A,Undetermined
IP_Q,STT3A,Undetermined
input_1,ATP6AP1,20.40563011
input_1,ATP6AP1,20.46902466
input_2,ATP6AP1,20.81570244
input_2,ATP6AP1,20.81227875
input_Q,ATP6AP1,29.40270233
input_Q,ATP6AP1,29.33303261
IP_1,ATP6AP1,29.9201088
IP_1,ATP6AP1,30.33807182
IP_2,ATP6AP1,Undetermined
IP_2,ATP6AP1,Undetermined
IP_Q,ATP6AP1,Undetermined
IP_Q,ATP6AP1,Undetermined
input_1,XBP1,19.51678276
input_1,XBP1,19.54073524
input_2,XBP1,18.53720284
input_2,XBP1,18.57548714
input_Q,XBP1,24.75822258
input_Q,XBP1,24.6414814
IP_1,XBP1,30.31417084
IP_1,XBP1,30.76634979
IP_2,XBP1,Undetermined
IP_2,XBP1,Undetermined
IP_Q,XBP1,Undetermined
IP_Q,XBP1,Undetermined
input_1,SLC3A2,23.26309586
input_1,SLC3A2,23.50777054
input_2,SLC3A2,23.90354538
input_2,SLC3A2,24.00654602
input_Q,SLC3A2,29.71146202
input_Q,SLC3A2,29.69180489
IP_1,SLC3A2,30.87706757
IP_1,SLC3A2,30.64361
IP_2,SLC3A2,Undetermined
IP_2,SLC3A2,Undetermined
IP_Q,SLC3A2,Undetermined
IP_Q,SLC3A2,Undetermined
