Sample Name,Target Name,Ct
input_1,TBP,21.97195625
input_1,TBP,21.78683472
input_1,TBP,21.78566742
input_1,TBP,21.6784935
IP_1,TBP,34.28889084
IP_1,TBP,33.218853
input_1,ERI3,23.99275208
input_1,ERI3,23.99614143
input_1,ERI3,23.8872757
IP_1,ERI3,33.91675568
IP_1,ERI3,34.93684006
IP_1,ERI3,35.55907822
input_1,HDAC3,22.6909008
input_1,HDAC3,22.28833771
input_1,HDAC3,22.96573448
IP_1,HDAC3,34.22933197
IP_1,HDAC3,33.96756363
IP_1,HDAC3,34.92189026
input_1,TMED3,22.14952469
input_1,TMED3,22.07025146
input_1,TMED3,21.44533157
IP_1,TMED3,31.58079147
IP_1,TMED3,31.6618824
IP_1,TMED3,31.28083992
