Uniprot_name,SA.KO3P1_S20_L007_R1_001.sam,SA.KO3P2_S13_L006_R1_001.sam,SA.KOSS1_S12_L006_R1_001.sam,SA.KOSS2_S23_L007_R1_001.sam,SA.WT3P1_S19_L007_R1_001.sam,SA.WT3P2_S22_L007_R1_001.sam,SA.WTSS1_S11_L006_R1_001.sam,SA.WTSS2_S21_L007_R1_001.sam
653635,328,149,114,282,301,314,148,325
100422834,0,0,0,0,0,0,0,0
645520,1,0,0,0,0,0,0,0
79501,0,0,0,0,0,0,0,0
729737,130,70,42,126,115,124,48,121
100507658,6,8,1,12,9,14,5,19
100132287,172,91,50,181,138,162,89,187
100288646,5,2,0,6,0,3,4,0
729759,2,0,0,0,0,0,0,0
100131754,6181,2469,2302,4865,3844,3562,1992,3748
81399,1,0,0,0,0,0,0,0
100287654,2,2,0,2,3,2,0,6
100133331,223,121,71,201,174,199,82,214
100288069,27,21,8,26,19,26,10,17
100287934,24,21,12,40,21,35,21,24
400728,1,1,0,3,0,0,0,3
79854,36,16,8,29,16,34,15,29
643837,75,31,22,46,39,54,21,65
100506327,24,5,7,18,19,11,7,12
284593,0,0,0,1,1,1,1,0
284600,221,126,74,240,75,96,49,94
100130417,111,49,47,105,54,44,41,64
148398,523,227,185,438,305,313,168,394
26155,1382,610,484,1151,685,852,396,873
339451,546,270,203,568,213,303,115,287
84069,20,12,6,24,4,11,4,6
84808,5,7,2,10,2,6,2,3
57801,857,542,326,937,911,1585,331,1155
9636,85,95,20,32,4827,7882,33,107
375790,885,566,327,1039,1155,1688,307,774
401934,1,0,1,1,1,0,0,1
54991,235,125,83,206,144,163,71,172
406984,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0
554210,0,0,0,0,0,0,0,0
100506376,0,0,0,0,0,0,0,0
254173,0,0,0,1,0,1,0,0
8784,3,2,0,2,2,2,2,0
7293,0,0,1,0,1,2,0,0
51150,863,426,353,785,646,758,350,849
126792,375,186,161,329,423,441,208,507
388581,12,7,2,9,7,20,5,10
118424,392,176,146,341,246,311,133,339
6339,223,93,61,261,140,161,67,201
116983,676,353,229,687,385,497,205,540
126789,357,173,125,342,313,453,160,553
54973,796,422,294,736,478,586,248,597
80772,155,69,36,150,150,209,76,238
83756,6,2,3,8,3,2,4,6
1855,919,496,321,886,723,894,363,1015
54587,672,395,249,763,134,210,74,203
100506404,0,1,0,0,0,0,0,0
54998,937,454,321,774,518,550,262,602
81669,1105,534,423,1016,675,834,362,670
148413,325,185,146,330,323,352,161,418
55052,465,209,177,425,382,435,203,382
441869,4,2,3,2,7,3,1,4
643965,1,1,1,0,0,0,1,1
100288271,6,7,4,9,5,13,8,12
64856,196,113,89,219,100,121,59,103
219293,98,48,37,82,51,57,28,83
83858,636,251,231,487,430,441,221,459
55210,805,343,282,658,594,647,287,684
339453,0,2,3,5,4,1,1,0
29101,778,332,276,595,621,734,313,702
643988,276,139,85,236,197,209,100,227
142678,346,155,110,299,353,444,155,410
8510,23,9,2,22,22,22,7,22
984,382,165,148,345,244,328,141,299
728661,729,406,292,785,555,678,290,739
8511,19,10,5,15,10,20,8,19
728642,330,184,140,299,262,272,137,277
100506482,269,161,108,300,201,264,100,267
9906,93,66,35,102,47,71,38,60
65220,745,405,299,793,687,966,378,951
2782,2775,1588,1054,2998,2078,3088,1126,2875
163688,15,5,2,10,9,8,2,17
339456,35,18,10,35,22,27,9,45
85452,9,3,6,8,2,7,3,1
2563,58,59,15,86,25,33,11,33
5590,175,88,50,166,109,145,56,185
100506504,33,20,9,22,15,24,11,34
199990,221,106,73,179,161,171,88,227
100128003,122,51,46,106,71,90,43,79
6497,1071,545,404,1003,452,650,283,574
79906,58,38,24,61,28,54,28,60
100129534,60,31,24,61,31,34,26,25
11079,920,405,339,801,679,757,316,721
5192,183,73,59,143,169,181,67,171
9651,16,6,6,19,5,5,8,4
55229,338,170,117,322,242,320,103,382
388585,164,78,65,194,26,54,14,79
115110,2,1,0,2,0,0,1,0
100133445,0,0,0,0,0,0,0,0
8764,6,3,2,4,10,9,4,5
100506589,1,2,1,2,1,2,1,0
127281,185,70,69,158,140,134,69,177
79258,0,0,1,2,3,1,0,1
100287898,3,0,2,4,0,2,1,0
140625,0,0,0,0,0,0,0,0
440556,42,15,14,34,27,40,16,28
