index,RNASEQ.SET.1.KO3P1.RPKM,RNASEQ.SET.1.KO3P2.RPKM,RNASEQ.SET.1.KOSS1.RPKM,RNASEQ.SET.1.KOSS2.RPKM,RNASEQ.SET.1.WT3P1.RPKM,RNASEQ.SET.1.WT3P2.RPKM,RNASEQ.SET.1.WTSS1.RPKM,RNASEQ.SET.1.WTSS2.RPKM,RNASEQ.SET.2.KO3P1.RPKM,RNASEQ.SET.2.KO3P2.RPKM,RNASEQ.SET.2.KOSS1.RPKM,RNASEQ.SET.2.KOSS2.RPKM,RNASEQ.SET.2.WT3P1.RPKM,RNASEQ.SET.2.WT3P2.RPKM,RNASEQ.SET.2.WTSS1.RPKM,RNASEQ.SET.2.WTSS2.RPKM,genename,V1,V2,V3
ENSG00000165349.7,0,0.006676197,0,0,3.648946359,4.435800248,4.075840464,4.475940995,0,0,0,0,18.58406701,16.82510434,18.11181502,18.87898019,SLC7A3,1.244732452,-9.024219665,0.940367063
ENSG00000230916.2,2.049821834,2.37964867,2.087459633,2.191804104,35.05905768,30.46462159,42.75885417,39.71219875,5.148382371,6.08239901,4.162824512,5.354982342,61.30798609,44.36727974,57.50287306,63.34946686,RP11-10B2.1,-0.152432661,-6.852713315,0.532407653
ENSG00000104722.9,11.1479499,9.929046636,8.958340773,12.80174693,61.92247344,89.19926633,87.65357109,90.97852179,2.125658199,2.230506336,2.454633276,2.963305896,19.92947351,38.28909831,22.57911016,43.85398323,NEFM,0.359474017,-6.806666175,0.457486616
ENSG00000162772.12,54.74979077,39.48686852,27.47763566,44.94834594,57.23450027,74.73893098,42.95186623,39.06346933,7.126263626,11.17174639,7.492748145,9.503041157,62.27690589,138.0958046,52.27581035,113.9198444,ATF3,-0.592708533,-6.231908068,1.912676242
ENSG00000067445.16,0.09644366,0.090063047,0.1086312,0.073804356,5.276653492,7.11302231,6.334609406,6.211292952,0.052277332,0.046892958,0.066656305,0.129615242,7.206880612,7.135318351,7.157185732,7.003719348,TRO,1.356676239,-6.123302461,0.731899161
ENSG00000197172.6,0.010535559,0,0,0.024187286,16.52013218,24.81666841,22.14387964,20.42428311,0,0,0,0,6.363728565,6.301278273,7.340000182,5.916697388,MAGEA6,1.424917781,-6.109035295,0.580615979
ENSG00000187026.2,2.453468257,1.615260284,2.243321425,2.765101528,4.859757214,4.691321617,4.58019078,5.286445659,0.398971095,0,0,1.187039955,7.168748189,9.158869495,8.946762619,7.990671388,KRTAP21-2,1.202250338,-5.952997044,0.572483294
ENSG00000130513.6,1.297857669,1.166543022,1.316054485,1.381839235,3.90260406,3.219511955,3.997452225,4.300425639,0.462630594,0.075451151,0.107250538,0.417103961,5.107420682,7.639864474,6.15508749,9.607142435,GDF15,1.29922971,-5.917731437,-0.057326372
ENSG00000221867.4,0,0,0.006455432,0.020334347,12.5116128,18.62979704,17.06507692,15.79434117,0,0,0,0,6.478913464,5.376576976,6.544753198,5.10283386,MAGEA3,1.434461986,-5.790892843,0.69777148
ENSG00000187479.4,8.866811535,6.933116382,8.192506761,8.829888291,11.03585543,7.731116629,7.381031769,8.165326382,1.886412004,1.924370001,1.509190876,1.83416765,5.866920936,24.32900748,8.643754955,34.95833411,C11orf96,0.661974124,-5.703373498,-0.362934027
